Dimension = 17449
5064[ms]
1539,1578680111176,135,3352,1578680111176,34,1578680111176,5064,fdf50e1e3dc3e9e3ce9bedd2b41b9fc5f0aab220
1636,2,70,131,0,14,0,1917,90a81b4ebb155c8c07a30f0a0562e7a05fea4294
308,2,61,156,0,12,0,577,5d08413b13252cef928aedae242f3b60310278bc
296,0,59,146,0,12,0,552,964f6b17e9c9bf7b20efb56ac922c29985d9f31d
277,0,58,150,0,11,0,539,fe86f890b07a124afdc0417bb0089677a892d454
291,0,58,183,0,11,0,582,aacbba2607489e7f36f439b99e0bba3d4bfa9f9d
360,1,60,202,0,9,0,679,a81340abaf16006ac78a9b6aecb44d50cb589822
349,0,59,152,0,9,0,606,0c373207fa5092bb0f7cdaef5ac78b8e64614bfd
280,0,58,146,0,8,0,537,27ed9da3834850233d6a793556f06ce9d6834c1b
347,0,60,174,0,8,0,629,ac3850cabd3944c06a07ece83ad44f3dc6ad50c3
373,0,60,158,0,9,0,644,80e80668f47698320bff4fe45ce2ecd2a463d787
268,0,58,152,0,9,0,521,1cf532dc37a5f853e87790087ea357b78b1b6796
893,0,263,361,0,28,0,1590,0f9422d5756da2b05814cb24f235fc0fa9f5044b
262,1,58,139,0,9,0,503,23f4e9f0d91ee5845a9edab298c4b4a3c00d5f07
285,0,62,135,0,10,0,528,72f1715e45c8e8418e158fb676b7e491d51ab9e7
372,0,69,190,0,9,0,678,9d4ded7ec6cc38f1576cc34e6f30d24c202a5963
313,0,58,182,0,8,0,608,4beaaff8eabcf709e81004bb5d125c1a7dce885e
467,1,78,290,0,9,0,904,e40d3e28e8ac63f840473f15c8b7a640cd314598
344,0,58,143,0,9,0,593,b770079f2c9177daef571f76fec21059bea7dbca
260,0,57,100,0,9,0,458,b089ba98cc9f638d79895535c6ae6aed25651a03
347,0,61,228,0,8,0,697,c6f02fd67a6a51e127003acf9a6ee14299dfa9a0
316,0,60,179,0,8,0,606,970de3e9c0f4e4b0ac56d1710e3b66f4a0cd06a5
